Canada, Cohort mean ages at birth and cohort mean ages at birth by age 40
Last modified: 28/01/2021
Cohort    CMAB    CMAB40
1906     29.19     28.36
1907     29.23     28.41
1908     29.30     28.49
1909     29.40     28.61
1910     29.51     28.72
1911     29.60     28.79
1912     29.65     28.85
1913     29.66     28.88
1914     29.61     28.86
1915     29.56     28.82
1916     29.52     28.80
1917     29.48     28.78
1918     29.44     28.77
1919     29.30     28.66
1920     29.13     28.51
1921     29.00     28.43
1922     28.91     28.39
1923     28.76     28.28
1924     28.57     28.16
1925     28.40     28.03
1926     28.21     27.89
1927     28.00     27.72
1928     27.77     27.52
1929     27.57     27.35
1930     27.37     27.19
1931     27.13     26.97
1932     26.86     26.72
1933     26.59     26.46
1934     26.36     26.25
1935     26.15     26.04
1936     25.92     25.82
1937     25.72     25.62
1938     25.55     25.46
1939     25.43     25.34
1940     25.35     25.25
1941     25.30     25.20
1942     25.32     25.22
1943     25.43     25.32
1944     25.61     25.49
1945     25.75     25.63
1946     25.81     25.68
1947     25.93     25.79
1948     26.15     26.00
1949     26.36     26.20
1950     26.54     26.36
1951     26.69     26.51
1952     26.82     26.63
1953     26.91     26.71
1954     27.02     26.81
1955     27.15     26.93
1956     27.27     27.05
1957     27.40     27.18
1958     27.54     27.31
1959     27.69     27.45
1960     27.83     27.57
1961     27.96     27.70
1962     28.10     27.81
1963     28.23     27.94
1964     28.34     28.03
1965     28.44     28.10
1966     28.51     28.15
1967     28.59     28.21
1968     28.73     28.32
1969         .     28.42
1970         .     28.53
1971         .     28.63
1972         .     28.70
1973         .     28.75
1974         .     28.83
1975         .     28.91
1976         .     29.00
1977         .     29.12
1978         .     29.22
