Canada, Standard deviation in cohort mean ages at birth and standard deviation in cohort mean ages at birth by age 40
Last modified: 28/01/2021
Cohort   sdCMAB   sdCMAB40
1906       6.45       5.70
1907       6.47       5.74
1908       6.48       5.77
1909       6.48       5.79
1910       6.46       5.78
1911       6.42       5.73
1912       6.35       5.67
1913       6.27       5.60
1914       6.18       5.52
1915       6.14       5.48
1916       6.12       5.47
1917       6.10       5.47
1918       6.08       5.47
1919       6.04       5.45
1920       6.00       5.40
1921       5.94       5.39
1922       5.88       5.37
1923       5.82       5.35
1924       5.76       5.34
1925       5.69       5.31
1926       5.63       5.28
1927       5.55       5.24
1928       5.46       5.17
1929       5.37       5.12
1930       5.30       5.07
1931       5.20       4.99
1932       5.09       4.91
1933       5.00       4.83
1934       4.95       4.79
1935       4.90       4.74
1936       4.85       4.70
1937       4.82       4.67
1938       4.80       4.66
1939       4.83       4.68
1940       4.87       4.71
1941       4.90       4.74
1942       4.94       4.78
1943       5.01       4.85
1944       5.08       4.91
1945       5.13       4.95
1946       5.16       4.98
1947       5.21       5.02
1948       5.26       5.06
1949       5.31       5.09
1950       5.36       5.14
1951       5.41       5.18
1952       5.45       5.21
1953       5.48       5.23
1954       5.50       5.25
1955       5.54       5.28
1956       5.55       5.29
1957       5.57       5.31
1958       5.58       5.31
1959       5.57       5.29
1960       5.57       5.28
1961       5.57       5.26
1962       5.58       5.26
1963       5.58       5.25
1964       5.59       5.25
1965       5.63       5.26
1966       5.70       5.31
1967       5.77       5.38
1968       5.85       5.44
1969          .       5.50
1970          .       5.54
1971          .       5.58
1972          .       5.61
1973          .       5.63
1974          .       5.62
1975          .       5.61
1976          .       5.59
1977          .       5.56
1978          .       5.53
