Canada, Completed cohort fertility and completed cohort fertility by age 40
Last modified: 28/01/2021
Cohort     CCF     CCF40
1906     2.861     2.689
1907     2.834     2.665
1908     2.775     2.612
1909     2.741     2.582
1910     2.735     2.574
1911     2.717     2.553
1912     2.745     2.579
1913     2.808     2.643
1914     2.880     2.716
1915     2.892     2.732
1916     2.887     2.731
1917     2.918     2.765
1918     2.930     2.784
1919     3.032     2.888
1920     3.211     3.063
1921     3.271     3.133
1922     3.249     3.124
1923     3.259     3.145
1924     3.273     3.173
1925     3.260     3.173
1926     3.260     3.185
1927     3.296     3.230
1928     3.314     3.256
1929     3.344     3.294
1930     3.376     3.333
1931     3.356     3.320
1932     3.302     3.271
1933     3.227     3.201
1934     3.155     3.132
1935     3.077     3.056
1936     2.987     2.968
1937     2.908     2.891
1938     2.833     2.817
1939     2.760     2.745
1940     2.664     2.648
1941     2.546     2.531
1942     2.451     2.436
1943     2.343     2.328
1944     2.198     2.183
1945     2.114     2.098
1946     2.133     2.116
1947     2.107     2.089
1948     2.025     2.006
1949     1.968     1.948
1950     1.928     1.906
1951     1.897     1.874
1952     1.882     1.859
1953     1.873     1.848
1954     1.863     1.837
1955     1.852     1.826
1956     1.845     1.817
1957     1.846     1.818
1958     1.846     1.817
1959     1.846     1.815
1960     1.835     1.802
1961     1.812     1.778
1962     1.799     1.763
1963     1.791     1.753
1964     1.779     1.739
1965     1.765     1.723
1966     1.769     1.723
1967     1.778     1.729
1968     1.783     1.730
1969         .     1.729
1970         .     1.725
1971         .     1.732
1972         .     1.742
1973         .     1.743
1974         .     1.755
1975         .     1.746
1976         .     1.738
1977         .     1.736
1978         .     1.725
