Switzerland, Period mean ages at birth and period mean ages at birth by age 40
Last modified: 18/05/2020
Year       MAB     MAB40
1932     30.38     29.55
1933     30.31     29.49
1934     30.26     29.46
1935     30.22     29.43
1936     30.22     29.43
1937     30.16     29.40
1938     30.17     29.43
1939     30.02     29.32
1940     29.99     29.29
1941     30.06     29.34
1942     30.10     29.42
1943     30.09     29.41
1944     30.05     29.37
1945     30.02     29.33
1946     29.98     29.29
1947     29.81     29.13
1948     29.68     29.01
1949     29.59     28.95
1950     29.57     28.92
1951     29.48     28.84
1952     29.41     28.79
1953     29.36     28.75
1954     29.32     28.71
1955     29.22     28.60
1956     29.13     28.55
1957     28.97     28.38
1958     28.86     28.31
1959     28.80     28.25
1960     28.71     28.17
1961     28.56     28.05
1962     28.43     27.93
1963     28.32     27.85
1964     28.27     27.82
1965     28.18     27.73
1966     28.15     27.70
1967     28.05     27.59
1968     27.98     27.55
1969     27.91     27.50
1970     27.80     27.41
1971     27.70     27.34
1972     27.65     27.30
1973     27.59     27.26
1974     27.54     27.26
1975     27.54     27.26
1976     27.62     27.37
1977     27.75     27.54
1978     27.83     27.62
1979     27.81     27.64
1980     27.87     27.69
1981     27.89     27.73
1982     27.96     27.80
1983     28.05     27.89
1984     28.19     28.02
1985     28.37     28.22
1986     28.50     28.35
1987     28.69     28.53
1988     28.76     28.61
1989     28.92     28.75
1990     28.95     28.79
1991     28.98     28.80
1992     29.11     28.91
1993     29.21     29.02
1994     29.35     29.15
1995     29.41     29.21
1996     29.52     29.31
1997     29.62     29.39
1998     29.68     29.44
1999     29.70     29.45
2000     29.84     29.58
2001     30.02     29.73
2002     30.11     29.81
2003     30.24     29.93
2004     30.39     30.07
2005     30.55     30.21
2006     30.67     30.31
2007     30.85     30.46
2008     31.00     30.60
2009     31.18     30.76
2010     31.26     30.83
2011     31.42     30.97
2012     31.53     31.06
2013     31.60     31.12
2014     31.75     31.24
2015     31.83     31.29
2016     31.86     31.31
2017     31.95     31.39
2018     32.05     31.48
