Switzerland, Cohort mean ages at birth and cohort mean ages at birth by age 40
Last modified: 18/05/2020
Cohort    CMAB    CMAB40
1917     29.90     29.36
1918     29.72     29.19
1919     29.58     29.03
1920     29.45     28.94
1921     29.41     28.89
1922     29.30     28.80
1923     29.25     28.78
1924     29.14     28.69
1925     29.09     28.67
1926     29.04     28.63
1927     28.92     28.55
1928     28.85     28.53
1929     28.80     28.50
1930     28.66     28.38
1931     28.57     28.32
1932     28.44     28.23
1933     28.27     28.08
1934     28.08     27.91
1935     27.90     27.75
1936     27.68     27.54
1937     27.42     27.30
1938     27.25     27.12
1939     27.07     26.94
1940     26.91     26.78
1941     26.74     26.62
1942     26.76     26.62
1943     26.68     26.54
1944     26.71     26.58
1945     26.77     26.62
1946     26.81     26.67
1947     26.84     26.68
1948     26.95     26.79
1949     27.07     26.90
1950     27.24     27.04
1951     27.41     27.21
1952     27.63     27.43
1953     27.77     27.57
1954     27.91     27.70
1955     28.10     27.88
1956     28.33     28.10
1957     28.46     28.22
1958     28.57     28.33
1959     28.64     28.39
1960     28.74     28.47
1961     28.86     28.57
1962     29.01     28.71
1963     29.18     28.87
1964     29.36     29.00
1965     29.56     29.18
1966     29.68     29.28
1967     29.85     29.43
1968     29.99     29.54
1969         .     29.62
1970         .     29.82
1971         .     29.90
1972         .     30.04
1973         .     30.18
1974         .     30.25
1975         .     30.40
1976         .     30.48
1977         .     30.55
1978         .     30.61
