Switzerland, Standard deviation in period mean ages at birth and standard deviation in period mean ages at birth by age 40
Last modified: 18/05/2020
Year      sdMAB    sdMAB40
1932       5.88       5.11
1933       5.87       5.11
1934       5.85       5.10
1935       5.82       5.07
1936       5.83       5.08
1937       5.80       5.09
1938       5.77       5.07
1939       5.73       5.05
1940       5.78       5.11
1941       5.76       5.07
1942       5.71       5.06
1943       5.72       5.06
1944       5.73       5.07
1945       5.74       5.07
1946       5.74       5.09
1947       5.80       5.14
1948       5.77       5.12
1949       5.76       5.11
1950       5.76       5.12
1951       5.76       5.11
1952       5.73       5.10
1953       5.72       5.09
1954       5.73       5.10
1955       5.73       5.09
1956       5.69       5.09
1957       5.74       5.10
1958       5.67       5.08
1959       5.68       5.08
1960       5.66       5.07
1961       5.63       5.06
1962       5.61       5.05
1963       5.57       5.03
1964       5.58       5.05
1965       5.58       5.05
1966       5.57       5.06
1967       5.59       5.06
1968       5.58       5.08
1969       5.58       5.11
1970       5.57       5.11
1971       5.50       5.06
1972       5.45       5.01
1973       5.37       4.95
1974       5.25       4.88
1975       5.14       4.78
1976       5.01       4.68
1977       4.90       4.60
1978       4.86       4.57
1979       4.78       4.53
1980       4.80       4.55
1981       4.76       4.55
1982       4.73       4.52
1983       4.68       4.46
1984       4.67       4.45
1985       4.61       4.40
1986       4.59       4.39
1987       4.59       4.39
1988       4.61       4.41
1989       4.65       4.44
1990       4.67       4.48
1991       4.77       4.54
1992       4.77       4.54
1993       4.78       4.55
1994       4.79       4.55
1995       4.80       4.57
1996       4.83       4.59
1997       4.87       4.62
1998       4.93       4.66
1999       4.99       4.72
2000       5.00       4.72
2001       5.05       4.75
2002       5.09       4.78
2003       5.10       4.79
2004       5.11       4.81
2005       5.13       4.81
2006       5.13       4.79
2007       5.14       4.79
2008       5.14       4.78
2009       5.15       4.78
2010       5.12       4.74
2011       5.12       4.72
2012       5.12       4.70
2013       5.11       4.69
2014       5.09       4.64
2015       5.08       4.61
2016       5.09       4.62
2017       5.07       4.58
2018       5.04       4.55
