Switzerland, Standard deviation in cohort mean ages at birth and standard deviation in cohort mean ages at birth by age 40
Last modified: 18/05/2020
Cohort   sdCMAB   sdCMAB40
1917       5.32       4.75
1918       5.33       4.77
1919       5.39       4.80
1920       5.39       4.83
1921       5.42       4.86
1922       5.41       4.87
1923       5.41       4.90
1924       5.43       4.94
1925       5.41       4.96
1926       5.41       4.97
1927       5.36       4.95
1928       5.29       4.94
1929       5.23       4.89
1930       5.15       4.83
1931       5.08       4.79
1932       5.00       4.75
1933       4.92       4.69
1934       4.84       4.62
1935       4.77       4.57
1936       4.73       4.53
1937       4.64       4.46
1938       4.62       4.43
1939       4.62       4.43
1940       4.64       4.44
1941       4.64       4.45
1942       4.72       4.52
1943       4.77       4.57
1944       4.83       4.63
1945       4.91       4.70
1946       4.93       4.73
1947       5.00       4.78
1948       5.05       4.83
1949       5.09       4.87
1950       5.17       4.92
1951       5.22       4.97
1952       5.23       4.97
1953       5.22       4.98
1954       5.24       4.98
1955       5.20       4.94
1956       5.16       4.88
1957       5.14       4.86
1958       5.10       4.81
1959       5.08       4.78
1960       5.11       4.79
1961       5.13       4.79
1962       5.16       4.81
1963       5.14       4.78
1964       5.20       4.79
1965       5.20       4.78
1966       5.25       4.81
1967       5.26       4.81
1968       5.30       4.84
1969          .       4.94
1970          .       4.96
1971          .       5.03
1972          .       5.06
1973          .       5.08
1974          .       5.09
1975          .       5.06
1976          .       5.07
1977          .       5.05
1978          .       5.04
