Switzerland, Period total fertility rates and period total fertility rates by age 40
Last modified: 18/05/2020
Year       TFR     TFR40
1932     1.943     1.816
1933     1.894     1.774
1934     1.875     1.758
1935     1.843     1.729
1936     1.803     1.691
1937     1.737     1.635
1938     1.780     1.677
1939     1.793     1.697
1940     1.816     1.717
1941     2.050     1.936
1942     2.265     2.144
1943     2.403     2.274
1944     2.496     2.363
1945     2.598     2.457
1946     2.617     2.477
1947     2.559     2.424
1948     2.539     2.411
1949     2.440     2.320
1950     2.401     2.283
1951     2.301     2.190
1952     2.324     2.218
1953     2.286     2.182
1954     2.283     2.180
1955     2.302     2.197
1956     2.349     2.249
1957     2.405     2.301
1958     2.400     2.305
1959     2.424     2.328
1960     2.443     2.350
1961     2.529     2.438
1962     2.594     2.503
1963     2.666     2.578
1964     2.675     2.590
1965     2.605     2.524
1966     2.516     2.439
1967     2.408     2.333
1968     2.300     2.233
1969     2.192     2.131
1970     2.104     2.049
1971     2.038     1.987
1972     1.913     1.868
1973     1.810     1.770
1974     1.733     1.700
1975     1.614     1.585
1976     1.547     1.522
1977     1.533     1.510
1978     1.508     1.486
1979     1.522     1.503
1980     1.554     1.534
1981     1.546     1.529
1982     1.557     1.539
1983     1.519     1.502
1984     1.529     1.511
1985     1.516     1.499
1986     1.532     1.514
1987     1.516     1.498
1988     1.569     1.551
1989     1.564     1.545
1990     1.592     1.573
1991     1.596     1.573
1992     1.576     1.552
1993     1.508     1.486
1994     1.489     1.464
1995     1.477     1.453
1996     1.502     1.476
1997     1.478     1.450
1998     1.470     1.441
1999     1.482     1.451
2000     1.496     1.464
2001     1.384     1.349
2002     1.390     1.354
2003     1.385     1.349
2004     1.416     1.378
2005     1.420     1.378
2006     1.437     1.391
2007     1.456     1.407
2008     1.484     1.431
2009     1.497     1.441
2010     1.524     1.464
2011     1.518     1.455
2012     1.526     1.459
2013     1.517     1.448
2014     1.539     1.466
2015     1.540     1.463
2016     1.546     1.466
2017     1.522     1.442
2018     1.519     1.436
