Switzerland, Completed cohort fertility and completed cohort fertility by age 40
Last modified: 18/05/2020
Cohort     CCF     CCF40
1917     2.209     2.113
1918     2.229     2.138
1919     2.215     2.123
1920     2.216     2.129
1921     2.221     2.134
1922     2.205     2.123
1923     2.229     2.149
1924     2.215     2.139
1925     2.192     2.123
1926     2.223     2.155
1927     2.189     2.128
1928     2.192     2.139
1929     2.194     2.144
1930     2.175     2.130
1931     2.180     2.140
1932     2.188     2.154
1933     2.197     2.167
1934     2.199     2.172
1935     2.173     2.150
1936     2.186     2.164
1937     2.167     2.148
1938     2.156     2.137
1939     2.123     2.105
1940     2.080     2.062
1941     2.033     2.017
1942     1.969     1.952
1943     1.923     1.905
1944     1.885     1.868
1945     1.855     1.838
1946     1.852     1.834
1947     1.823     1.804
1948     1.813     1.793
1949     1.808     1.788
1950     1.796     1.773
1951     1.770     1.745
1952     1.757     1.732
1953     1.758     1.734
1954     1.754     1.728
1955     1.751     1.724
1956     1.756     1.726
1957     1.742     1.712
1958     1.751     1.720
1959     1.774     1.741
1960     1.780     1.744
1961     1.767     1.729
1962     1.746     1.706
1963     1.721     1.680
1964     1.695     1.649
1965     1.672     1.622
1966     1.669     1.615
1967     1.658     1.602
1968     1.652     1.592
1969         .     1.593
1970         .     1.579
1971         .     1.566
1972         .     1.575
1973         .     1.572
1974         .     1.574
1975         .     1.579
1976         .     1.573
1977         .     1.562
1978         .     1.570
