Denmark, Life tables (cohort 1x1), Females	Last modified: 03 Mar 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1835           0      0.19374  0.17102  0.31  100000   17102   88270  4538017  45.38
  1835           1      0.04302  0.04205  0.46   82898    3486   81031  4449747  53.68
  1835           2      0.02762  0.02724  0.49   79413    2163   78320  4368716  55.01
  1835           3      0.01946  0.01928  0.51   77249    1489   76526  4290396  55.54
  1835           4      0.01376  0.01367  0.50   75760    1036   75246  4213870  55.62
  1835           5      0.01029  0.01023  0.48   74725     765   74328  4138625  55.39
  1835           6      0.00820  0.00817  0.50   73960     604   73658  4064297  54.95
  1835           7      0.00700  0.00697  0.49   73356     512   73095  3990639  54.40
  1835           8      0.00566  0.00565  0.49   72844     411   72635  3917544  53.78
  1835           9      0.00573  0.00572  0.53   72433     414   72237  3844909  53.08
  1835          10      0.00664  0.00662  0.52   72019     477   71791  3772672  52.38
  1835          11      0.00647  0.00645  0.51   71542     461   71317  3700881  51.73
  1835          12      0.00596  0.00594  0.50   71081     422   70872  3629564  51.06
  1835          13      0.00549  0.00547  0.51   70659     387   70471  3558693  50.36
  1835          14      0.00502  0.00501  0.49   70272     352   70094  3488222  49.64
  1835          15      0.00466  0.00465  0.51   69920     325   69761  3418128  48.89
  1835          16      0.00482  0.00481  0.51   69595     334   69432  3348367  48.11
  1835          17      0.00549  0.00547  0.52   69261     379   69080  3278936  47.34
  1835          18      0.00568  0.00566  0.50   68882     390   68687  3209856  46.60
  1835          19      0.00545  0.00543  0.51   68492     372   68308  3141169  45.86
  1835          20      0.00533  0.00531  0.50   68120     362   67938  3072860  45.11
  1835          21      0.00592  0.00590  0.52   67758     400   67568  3004922  44.35
  1835          22      0.00697  0.00695  0.51   67358     468   67131  2937355  43.61
  1835          23      0.00683  0.00681  0.49   66890     455   66659  2870224  42.91
  1835          24      0.00652  0.00650  0.51   66435     432   66223  2803565  42.20
  1835          25      0.00626  0.00624  0.50   66003     412   65796  2737342  41.47
  1835          26      0.00654  0.00652  0.52   65591     427   65387  2671546  40.73
  1835          27      0.00724  0.00722  0.50   65164     470   64929  2606159  39.99
  1835          28      0.00806  0.00802  0.52   64694     519   64446  2541230  39.28
  1835          29      0.00869  0.00865  0.50   64174     555   63898  2476784  38.59
  1835          30      0.00842  0.00838  0.50   63619     533   63351  2412886  37.93
  1835          31      0.00823  0.00820  0.50   63086     517   62830  2349535  37.24
  1835          32      0.00820  0.00816  0.50   62569     511   62313  2286705  36.55
  1835          33      0.00844  0.00840  0.51   62058     522   61802  2224392  35.84
  1835          34      0.00892  0.00888  0.51   61537     547   61267  2162589  35.14
  1835          35      0.00965  0.00960  0.52   60990     586   60706  2101323  34.45
  1835          36      0.01062  0.01056  0.51   60404     638   60089  2040616  33.78
  1835          37      0.01046  0.01041  0.50   59767     622   59457  1980527  33.14
  1835          38      0.01006  0.01001  0.50   59144     592   58850  1921071  32.48
  1835          39      0.01005  0.01001  0.51   58552     586   58265  1862221  31.80
  1835          40      0.01031  0.01026  0.50   57966     594   57669  1803956  31.12
  1835          41      0.00926  0.00922  0.50   57372     529   57105  1746287  30.44
  1835          42      0.00895  0.00891  0.51   56843     506   56594  1689182  29.72
  1835          43      0.00888  0.00885  0.51   56337     498   56091  1632587  28.98
  1835          44      0.00912  0.00908  0.51   55838     507   55589  1576497  28.23
  1835          45      0.00952  0.00947  0.51   55331     524   55072  1520908  27.49
  1835          46      0.00977  0.00972  0.51   54807     533   54546  1465836  26.75
  1835          47      0.00982  0.00977  0.50   54274     530   54009  1411290  26.00
  1835          48      0.00974  0.00969  0.51   53744     521   53487  1357281  25.25
  1835          49      0.00970  0.00965  0.50   53223     514   52967  1303794  24.50
  1835          50      0.01014  0.01009  0.51   52709     532   52449  1250827  23.73
  1835          51      0.01110  0.01104  0.51   52178     576   51895  1198379  22.97
  1835          52      0.01177  0.01170  0.51   51601     604   51303  1146483  22.22
  1835          53      0.01270  0.01263  0.51   50998     644   50684  1095180  21.48
  1835          54      0.01359  0.01350  0.50   50354     680   50017  1044496  20.74
