Denmark, Period mean ages at birth and period mean ages at birth by age 40
Last modified: 14/04/2021
Year       MAB     MAB40
1916     30.29     29.21
1917     30.22     29.15
1918     30.31     29.22
1919     30.32     29.22
1920     30.03     29.00
1921     30.04     28.99
1922     30.06     29.01
1923     29.95     28.92
1924     29.94     28.91
1925     29.87     28.84
1926     29.76     28.75
1927     29.69     28.71
1928     29.65     28.68
1929     29.66     28.70
1930     29.49     28.60
1931     29.41     28.52
1932     29.35     28.44
1933     29.32     28.47
1934     29.20     28.35
1935     29.03     28.25
1936     28.93     28.17
1937     28.80     28.07
1938     28.75     28.06
1939     28.70     28.03
1940     28.48     27.86
1941     28.52     27.88
1942     28.60     28.00
1943     28.62     28.03
1944     28.53     27.97
1945     28.46     27.87
1946     28.72     28.14
1947     28.52     27.90
1948     28.33     27.70
1949     28.05     27.46
1950     27.86     27.32
1951     27.69     27.16
1952     27.59     27.10
1953     27.49     27.02
1954     27.40     26.94
1955     27.30     26.85
1956     27.23     26.79
1957     27.09     26.66
1958     26.99     26.62
1959     26.95     26.58
1960     26.92     26.56
1961     26.89     26.55
1962     26.86     26.53
1963     26.87     26.54
1964     26.78     26.47
1965     26.78     26.48
1966     26.65     26.39
1967     26.52     26.27
1968     26.51     26.27
1969     26.60     26.37
1970     26.72     26.49
1971     26.71     26.54
1972     26.69     26.53
1973     26.66     26.49
1974     26.58     26.42
1975     26.43     26.29
1976     26.57     26.42
1977     26.53     26.40
1978     26.63     26.52
1979     26.74     26.61
1980     26.82     26.70
1981     26.96     26.82
1982     27.15     27.02
1983     27.35     27.21
1984     27.54     27.42
1985     27.75     27.60
1986     27.90     27.75
1987     28.08     27.93
1988     28.21     28.06
1989     28.35     28.19
1990     28.46     28.29
1991     28.63     28.46
1992     28.76     28.59
1993     28.93     28.74
1994     29.09     28.90
1995     29.20     29.02
1996     29.27     29.07
1997     29.42     29.21
1998     29.52     29.30
1999     29.62     29.40
2000     29.70     29.47
2001     29.74     29.50
2002     29.93     29.68
2003     30.06     29.79
2004     30.16     29.90
2005     30.24     29.97
2006     30.30     30.02
2007     30.42     30.13
2008     30.42     30.11
2009     30.50     30.18
2010     30.59     30.27
2011     30.69     30.35
2012     30.74     30.39
2013     30.83     30.46
2014     30.90     30.52
2015     30.95     30.57
2016     30.98     30.59
2017     31.06     30.64
2018     31.22     30.78
2019     31.32     30.87
2020     31.45     31.00
