Denmark, Cohort mean ages at birth and cohort mean ages at birth by age 40
Last modified: 14/04/2021
Cohort    CMAB    CMAB40
1901     28.69     27.98
1902     28.80     28.06
1903     28.84     28.08
1904     28.89     28.12
1905     29.05     28.28
1906     29.16     28.44
1907     29.19     28.54
1908     29.22     28.65
1909     29.25     28.72
1910     29.23     28.72
1911     29.13     28.65
1912     29.04     28.58
1913     28.94     28.51
1914     28.81     28.38
1915     28.64     28.23
1916     28.43     28.05
1917     28.24     27.87
1918     28.06     27.70
1919     27.89     27.53
1920     27.72     27.39
1921     27.61     27.29
1922     27.51     27.19
1923     27.41     27.12
1924     27.34     27.07
1925     27.22     26.97
1926     27.12     26.91
1927     27.08     26.89
1928     27.02     26.85
1929     26.91     26.75
1930     26.79     26.64
1931     26.68     26.55
1932     26.54     26.42
1933     26.42     26.30
1934     26.29     26.18
1935     26.19     26.09
1936     26.10     26.01
1937     25.99     25.90
1938     25.92     25.83
1939     25.84     25.75
1940     25.75     25.66
1941     25.68     25.60
1942     25.66     25.57
1943     25.62     25.51
1944     25.60     25.48
1945     25.65     25.53
1946     25.72     25.59
1947     25.79     25.65
1948     25.91     25.76
1949     26.04     25.87
1950     26.21     26.02
1951     26.40     26.20
1952     26.62     26.41
1953     26.85     26.64
1954     27.06     26.85
1955     27.31     27.08
1956     27.54     27.30
1957     27.78     27.54
1958     28.04     27.80
1959     28.27     28.02
1960     28.52     28.25
1961     28.69     28.42
1962     28.84     28.57
1963     29.01     28.73
1964     29.11     28.81
1965     29.22     28.92
1966     29.34     29.02
1967     29.46     29.12
1968     29.56     29.22
1969     29.65     29.31
1970     29.78     29.44
1971         .     29.57
1972         .     29.65
1973         .     29.75
1974         .     29.81
1975         .     29.82
1976         .     29.86
1977         .     29.91
1978         .     29.98
1979         .     30.02
1980         .     30.07
