Denmark, Standard deviation in period mean ages at birth and standard deviation in period mean ages at birth by age 40
Last modified: 14/04/2021
Year      sdMAB    sdMAB40
1916       6.45       5.56
1917       6.43       5.54
1918       6.45       5.55
1919       6.44       5.52
1920       6.45       5.58
1921       6.48       5.59
1922       6.47       5.59
1923       6.48       5.59
1924       6.47       5.60
1925       6.48       5.60
1926       6.46       5.59
1927       6.47       5.60
1928       6.47       5.61
1929       6.46       5.62
1930       6.41       5.61
1931       6.41       5.60
1932       6.43       5.61
1933       6.35       5.57
1934       6.35       5.55
1935       6.29       5.55
1936       6.24       5.51
1937       6.21       5.49
1938       6.16       5.48
1939       6.16       5.49
1940       6.09       5.45
1941       6.12       5.47
1942       6.04       5.43
1943       6.04       5.45
1944       6.03       5.47
1945       6.11       5.52
1946       6.09       5.52
1947       6.18       5.57
1948       6.20       5.56
1949       6.13       5.51
1950       6.09       5.51
1951       6.03       5.45
1952       5.98       5.44
1953       5.92       5.39
1954       5.90       5.37
1955       5.87       5.34
1956       5.84       5.33
1957       5.79       5.28
1958       5.70       5.25
1959       5.70       5.25
1960       5.66       5.21
1961       5.63       5.20
1962       5.60       5.18
1963       5.59       5.19
1964       5.57       5.18
1965       5.56       5.18
1966       5.50       5.16
1967       5.50       5.17
1968       5.48       5.16
1969       5.41       5.11
1970       5.28       4.98
1971       5.08       4.83
1972       5.05       4.81
1973       4.99       4.75
1974       4.94       4.72
1975       4.86       4.66
1976       4.89       4.68
1977       4.84       4.64
1978       4.77       4.60
1979       4.77       4.58
1980       4.76       4.58
1981       4.75       4.55
1982       4.71       4.53
1983       4.69       4.50
1984       4.71       4.53
1985       4.71       4.50
1986       4.73       4.52
1987       4.74       4.55
1988       4.73       4.53
1989       4.75       4.55
1990       4.77       4.57
1991       4.79       4.58
1992       4.80       4.58
1993       4.81       4.58
1994       4.82       4.60
1995       4.83       4.61
1996       4.87       4.63
1997       4.87       4.64
1998       4.89       4.65
1999       4.88       4.64
2000       4.88       4.62
2001       4.90       4.64
2002       4.88       4.61
2003       4.85       4.57
2004       4.79       4.53
2005       4.82       4.54
2006       4.82       4.53
2007       4.86       4.56
2008       4.93       4.62
2009       4.92       4.59
2010       4.89       4.57
2011       4.90       4.56
2012       4.90       4.55
2013       4.89       4.53
2014       4.88       4.51
2015       4.85       4.47
2016       4.86       4.48
2017       4.87       4.45
2018       4.85       4.41
2019       4.80       4.35
2020       4.73       4.27
