Denmark, Standard deviation in cohort mean ages at birth and standard deviation in cohort mean ages at birth by age 40
Last modified: 14/04/2021
Cohort   sdCMAB   sdCMAB40
1901       6.14       5.43
1902       6.21       5.48
1903       6.26       5.52
1904       6.29       5.57
1905       6.30       5.61
1906       6.30       5.66
1907       6.25       5.68
1908       6.18       5.67
1909       6.11       5.64
1910       6.02       5.55
1911       5.91       5.45
1912       5.81       5.36
1913       5.73       5.29
1914       5.66       5.22
1915       5.61       5.16
1916       5.55       5.13
1917       5.51       5.09
1918       5.48       5.05
1919       5.48       5.06
1920       5.48       5.07
1921       5.48       5.09
1922       5.48       5.10
1923       5.45       5.10
1924       5.45       5.13
1925       5.45       5.15
1926       5.42       5.15
1927       5.39       5.15
1928       5.35       5.13
1929       5.28       5.08
1930       5.22       5.03
1931       5.16       4.98
1932       5.09       4.92
1933       5.04       4.87
1934       4.99       4.83
1935       4.92       4.77
1936       4.86       4.73
1937       4.83       4.69
1938       4.80       4.66
1939       4.79       4.66
1940       4.81       4.67
1941       4.82       4.68
1942       4.82       4.67
1943       4.85       4.68
1944       4.89       4.71
1945       4.90       4.71
1946       4.94       4.73
1947       4.99       4.78
1948       5.09       4.86
1949       5.16       4.91
1950       5.22       4.95
1951       5.29       5.00
1952       5.34       5.07
1953       5.39       5.12
1954       5.45       5.18
1955       5.52       5.24
1956       5.53       5.26
1957       5.53       5.26
1958       5.52       5.26
1959       5.47       5.20
1960       5.41       5.12
1961       5.34       5.05
1962       5.29       4.99
1963       5.23       4.91
1964       5.18       4.85
1965       5.15       4.82
1966       5.17       4.81
1967       5.18       4.81
1968       5.20       4.84
1969       5.22       4.87
1970       5.23       4.87
1971          .       4.88
1972          .       4.87
1973          .       4.86
1974          .       4.83
1975          .       4.81
1976          .       4.79
1977          .       4.76
1978          .       4.76
1979          .       4.77
1980          .       4.78
