Denmark, Period total fertility rates and period total fertility rates by age 40
Last modified: 14/04/2021
Year       TFR     TFR40
1916     3.198     2.933
1917     3.084     2.834
1918     3.139     2.878
1919     2.932     2.684
1920     3.264     3.011
1921     3.083     2.840
1922     2.846     2.622
1923     2.833     2.615
1924     2.753     2.541
1925     2.639     2.438
1926     2.557     2.368
1927     2.427     2.252
1928     2.417     2.245
1929     2.280     2.120
1930     2.286     2.137
1931     2.187     2.046
1932     2.170     2.029
1933     2.081     1.952
1934     2.133     2.001
1935     2.113     1.994
1936     2.135     2.020
1937     2.156     2.045
1938     2.178     2.072
1939     2.150     2.050
1940     2.210     2.114
1941     2.244     2.143
1942     2.495     2.389
1943     2.639     2.528
1944     2.832     2.720
1945     2.967     2.844
1946     3.006     2.880
1947     2.891     2.764
1948     2.704     2.586
1949     2.566     2.463
1950     2.574     2.479
1951     2.498     2.409
1952     2.534     2.452
1953     2.597     2.515
1954     2.549     2.472
1955     2.583     2.506
1956     2.597     2.523
1957     2.565     2.495
1958     2.552     2.491
1959     2.516     2.457
1960     2.571     2.511
1961     2.553     2.496
1962     2.551     2.495
1963     2.641     2.586
1964     2.600     2.549
1965     2.608     2.559
1966     2.615     2.570
1967     2.350     2.313
1968     2.117     2.084
1969     1.998     1.969
1970     1.949     1.921
1971     2.043     2.019
1972     2.029     2.007
1973     1.917     1.896
1974     1.896     1.877
1975     1.919     1.901
1976     1.748     1.731
1977     1.661     1.646
1978     1.669     1.656
1979     1.602     1.589
1980     1.547     1.534
1981     1.437     1.425
1982     1.427     1.415
1983     1.377     1.365
1984     1.400     1.388
1985     1.447     1.432
1986     1.480     1.463
1987     1.495     1.480
1988     1.559     1.542
1989     1.619     1.600
1990     1.667     1.647
1991     1.681     1.660
1992     1.761     1.738
1993     1.747     1.721
1994     1.805     1.778
1995     1.805     1.778
1996     1.748     1.719
1997     1.750     1.720
1998     1.719     1.689
1999     1.733     1.702
2000     1.769     1.734
2001     1.740     1.706
2002     1.720     1.683
2003     1.755     1.716
2004     1.781     1.743
2005     1.798     1.757
2006     1.846     1.802
2007     1.843     1.796
2008     1.888     1.838
2009     1.840     1.788
2010     1.871     1.819
2011     1.753     1.700
2012     1.730     1.676
2013     1.669     1.615
2014     1.692     1.634
2015     1.714     1.656
2016     1.786     1.725
2017     1.753     1.687
2018     1.731     1.662
2019     1.700     1.632
2020     1.676     1.607
