Denmark, Completed cohort fertility and completed cohort fertility by age 40
Last modified: 14/04/2021
Cohort     CCF     CCF40
1901     2.215     2.106
1902     2.181     2.065
1903     2.158     2.040
1904     2.154     2.035
1905     2.163     2.041
1906     2.174     2.056
1907     2.181     2.074
1908     2.185     2.091
1909     2.189     2.101
1910     2.227     2.141
1911     2.253     2.172
1912     2.280     2.202
1913     2.307     2.232
1914     2.325     2.252
1915     2.328     2.258
1916     2.324     2.260
1917     2.338     2.277
1918     2.320     2.262
1919     2.328     2.271
1920     2.356     2.302
1921     2.344     2.292
1922     2.336     2.286
1923     2.333     2.286
1924     2.333     2.290
1925     2.340     2.301
1926     2.348     2.314
1927     2.354     2.323
1928     2.341     2.314
1929     2.336     2.310
1930     2.362     2.339
1931     2.372     2.352
1932     2.377     2.358
1933     2.388     2.370
1934     2.392     2.375
1935     2.378     2.363
1936     2.349     2.336
1937     2.325     2.312
1938     2.298     2.285
1939     2.265     2.252
1940     2.243     2.230
1941     2.209     2.197
1942     2.167     2.154
1943     2.136     2.122
1944     2.102     2.087
1945     2.060     2.044
1946     2.030     2.013
1947     2.002     1.984
1948     1.974     1.955
1949     1.934     1.913
1950     1.904     1.880
1951     1.895     1.870
1952     1.859     1.835
1953     1.853     1.827
1954     1.851     1.823
1955     1.838     1.809
1956     1.848     1.817
1957     1.861     1.830
1958     1.864     1.831
1959     1.877     1.843
1960     1.900     1.862
1961     1.908     1.869
1962     1.916     1.877
1963     1.923     1.882
1964     1.933     1.889
1965     1.935     1.889
1966     1.931     1.882
1967     1.943     1.892
1968     1.969     1.915
1969     1.982     1.929
1970     1.971     1.916
1971         .     1.895
1972         .     1.901
1973         .     1.902
1974         .     1.895
1975         .     1.892
1976         .     1.892
1977         .     1.879
1978         .     1.862
1979         .     1.850
1980         .     1.830
