Spain, Cohort mean ages at birth and cohort mean ages at birth by age 40
Last modified: 15/09/2020
Cohort    CMAB    CMAB40
1907     30.12     29.26
1908     30.11     29.27
1909     30.10     29.29
1910     30.12     29.32
1911     30.16     29.35
1912     30.19     29.38
1913     30.25     29.44
1914     30.31     29.49
1915     30.37     29.54
1916     30.41     29.57
1917     30.41     29.57
1918     30.38     29.55
1919     30.32     29.50
1920     30.30     29.47
1921     30.29     29.46
1922     30.29     29.45
1923     30.30     29.45
1924     30.31     29.48
1925     30.32     29.53
1926     30.32     29.58
1927     30.34     29.63
1928     30.35     29.68
1929     30.33     29.68
1930     30.29     29.66
1931     30.22     29.60
1932     30.09     29.49
1933     29.95     29.39
1934     29.81     29.28
1935     29.67     29.17
1936     29.54     29.08
1937     29.40     28.97
1938     29.24     28.84
1939     29.08     28.71
1940     28.98     28.62
1941     28.81     28.49
1942     28.66     28.36
1943     28.55     28.27
1944     28.38     28.13
1945     28.23     27.99
1946     28.06     27.84
1947     27.87     27.66
1948     27.76     27.56
1949     27.61     27.41
1950     27.47     27.27
1951     27.38     27.18
1952     27.29     27.10
1953     27.23     27.03
1954     27.19     26.99
1955     27.17     26.95
1956     27.20     26.97
1957     27.31     27.06
1958     27.45     27.18
1959     27.65     27.35
1960     27.92     27.58
1961     28.20     27.84
1962     28.49     28.10
1963     28.79     28.37
1964     29.06     28.63
1965     29.33     28.87
1966     29.61     29.13
1967     29.85     29.34
1968     30.11     29.58
1969         .     29.89
1970         .     30.24
1971         .     30.54
1972         .     30.75
1973         .     30.92
1974         .     31.06
1975         .     31.17
1976         .     31.23
1977         .     31.24
1978         .     31.20
