Spain, Standard deviation in cohort mean ages at birth and standard deviation in cohort mean ages at birth by age 40
Last modified: 15/09/2020
Cohort   sdCMAB   sdCMAB40
1907       6.02       5.21
1908       6.03       5.25
1909       6.04       5.30
1910       6.05       5.32
1911       6.06       5.32
1912       6.05       5.32
1913       6.04       5.30
1914       6.01       5.26
1915       5.98       5.20
1916       5.93       5.13
1917       5.88       5.08
1918       5.85       5.06
1919       5.85       5.07
1920       5.87       5.09
1921       5.90       5.12
1922       5.91       5.13
1923       5.91       5.13
1924       5.88       5.13
1925       5.84       5.12
1926       5.78       5.10
1927       5.71       5.07
1928       5.64       5.03
1929       5.59       4.99
1930       5.55       4.94
1931       5.51       4.90
1932       5.47       4.88
1933       5.43       4.86
1934       5.40       4.85
1935       5.36       4.84
1936       5.31       4.82
1937       5.27       4.80
1938       5.23       4.78
1939       5.19       4.77
1940       5.16       4.75
1941       5.08       4.69
1942       5.01       4.65
1943       4.96       4.62
1944       4.92       4.59
1945       4.88       4.57
1946       4.84       4.55
1947       4.81       4.54
1948       4.80       4.53
1949       4.81       4.54
1950       4.84       4.57
1951       4.87       4.60
1952       4.91       4.64
1953       4.97       4.70
1954       5.07       4.79
1955       5.17       4.88
1956       5.28       4.98
1957       5.40       5.08
1958       5.51       5.17
1959       5.62       5.26
1960       5.72       5.33
1961       5.79       5.39
1962       5.84       5.44
1963       5.88       5.47
1964       5.92       5.49
1965       5.94       5.51
1966       5.97       5.52
1967       5.99       5.54
1968       6.00       5.55
1969          .       5.52
1970          .       5.45
1971          .       5.37
1972          .       5.27
1973          .       5.19
1974          .       5.12
1975          .       5.07
1976          .       5.05
1977          .       5.06
1978          .       5.11
