Finland, Life tables (cohort 1x1), Females	Last modified: 10 Sep 2020;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1878           0      0.16254  0.14624  0.31  100000   14624   89970  4491099  44.91
  1878           1      0.05538  0.05390  0.50   85376    4602   83088  4401130  51.55
  1878           2      0.04028  0.03951  0.51   80775    3191   79224  4318042  53.46
  1878           3      0.02966  0.02923  0.50   77583    2268   76444  4238818  54.64
  1878           4      0.02173  0.02149  0.50   75316    1619   74505  4162374  55.27
  1878           5      0.01536  0.01525  0.51   73697    1124   73143  4087868  55.47
  1878           6      0.01134  0.01128  0.53   72573     818   72186  4014725  55.32
  1878           7      0.01112  0.01106  0.51   71755     794   71365  3942539  54.94
  1878           8      0.00777  0.00773  0.46   70961     549   70668  3871174  54.55
  1878           9      0.00515  0.00514  0.49   70413     362   70228  3800507  53.97
  1878          10      0.00475  0.00474  0.52   70051     332   69892  3730278  53.25
  1878          11      0.00476  0.00475  0.51   69719     331   69558  3660387  52.50
  1878          12      0.00438  0.00437  0.52   69388     303   69241  3590828  51.75
  1878          13      0.00507  0.00506  0.52   69085     349   68919  3521587  50.97
  1878          14      0.00516  0.00514  0.49   68735     354   68556  3452668  50.23
  1878          15      0.00498  0.00497  0.51   68382     340   68214  3384112  49.49
  1878          16      0.00503  0.00502  0.50   68042     341   67871  3315898  48.73
  1878          17      0.00583  0.00582  0.53   67700     394   67517  3248028  47.98
  1878          18      0.00574  0.00573  0.51   67307     385   67118  3180511  47.25
  1878          19      0.00519  0.00518  0.51   66921     346   66750  3113393  46.52
  1878          20      0.00600  0.00599  0.53   66575     399   66386  3046642  45.76
  1878          21      0.00575  0.00573  0.52   66176     379   65995  2980257  45.04
  1878          22      0.00765  0.00762  0.50   65797     502   65547  2914262  44.29
  1878          23      0.00688  0.00685  0.50   65295     448   65071  2848714  43.63
  1878          24      0.00624  0.00622  0.52   64848     403   64654  2783644  42.93
  1878          25      0.00789  0.00786  0.52   64445     506   64199  2718990  42.19
  1878          26      0.00701  0.00698  0.50   63938     446   63714  2654791  41.52
  1878          27      0.00720  0.00717  0.51   63492     456   63268  2591077  40.81
  1878          28      0.00793  0.00790  0.51   63036     498   62794  2527809  40.10
  1878          29      0.00792  0.00789  0.52   62538     494   62303  2465016  39.42
  1878          30      0.00771  0.00768  0.50   62045     476   61805  2402713  38.73
  1878          31      0.00672  0.00670  0.51   61568     413   61367  2340908  38.02
  1878          32      0.00761  0.00758  0.51   61156     464   60930  2279541  37.27
  1878          33      0.00750  0.00748  0.51   60692     454   60470  2218611  36.56
  1878          34      0.00762  0.00759  0.52   60238     457   60019  2158141  35.83
  1878          35      0.00733  0.00730  0.50   59781     436   59562  2098122  35.10
  1878          36      0.00796  0.00793  0.50   59345     470   59109  2038560  34.35
  1878          37      0.00882  0.00878  0.52   58874     517   58625  1979451  33.62
  1878          38      0.00930  0.00926  0.51   58357     540   58094  1920826  32.91
  1878          39      0.01007  0.01002  0.52   57817     579   57540  1862732  32.22
  1878          40      0.01295  0.01287  0.47   57238     736   56848  1805193  31.54
  1878          41      0.00895  0.00891  0.52   56501     503   56259  1748344  30.94
  1878          42      0.00785  0.00782  0.51   55998     438   55784  1692085  30.22
  1878          43      0.00811  0.00808  0.51   55560     449   55338  1636301  29.45
  1878          44      0.00761  0.00758  0.48   55111     418   54893  1580962  28.69
  1878          45      0.00835  0.00832  0.53   54694     455   54481  1526069  27.90
  1878          46      0.00927  0.00923  0.52   54239     500   53996  1471588  27.13
  1878          47      0.00864  0.00861  0.52   53739     463   53514  1417591  26.38
  1878          48      0.00894  0.00890  0.54   53276     474   53056  1364077  25.60
  1878          49      0.00929  0.00925  0.53   52802     489   52570  1311021  24.83
  1878          50      0.01142  0.01136  0.49   52313     594   52013  1258451  24.06
  1878          51      0.01099  0.01093  0.51   51719     565   51441  1206438  23.33
  1878          52      0.01226  0.01219  0.52   51154     623   50855  1154997  22.58
  1878          53      0.01100  0.01094  0.53   50531     553   50271  1104142  21.85
  1878          54      0.01071  0.01066  0.50   49978     533   49713  1053871  21.09
  1878          55      0.01177  0.01170  0.50   49445     578   49158  1004158  20.31
  1878          56      0.01352  0.01343  0.49   48867     656   48534   955000  19.54
  1878          57      0.01355  0.01346  0.52   48211     649   47896   906466  18.80
  1878          58      0.01665  0.01652  0.50   47561     786   47171   858569  18.05
  1878          59      0.01676  0.01663  0.50   46776     778   46390   811399  17.35
  1878          60      0.01827  0.01811  0.52   45998     833   45600   765008  16.63
  1878          61      0.02033  0.02013  0.51   45165     909   44724   719409  15.93
  1878          62      0.02257  0.02232  0.50   44256     988   43762   674685  15.25
  1878          63      0.02302  0.02276  0.50   43268     985   42774   630923  14.58
  1878          64      0.02449  0.02420  0.50   42283    1023   41772   588149  13.91
  1878          65      0.02770  0.02734  0.53   41260    1128   40733   546377  13.24
  1878          66      0.03196  0.03146  0.51   40132    1263   39508   505645  12.60
