Finland, Period mean ages at birth and period mean ages at birth by age 40
Last modified: 05/11/2020
Year       MAB     MAB40
1939     30.15     28.94
1940     30.32     29.00
1941     30.29     29.15
1942     30.73     29.40
1943     30.97     29.73
1944     30.61     29.43
1945     30.20     29.16
1946     29.87     28.87
1947     29.59     28.63
1948     29.54     28.57
1949     29.52     28.55
1950     29.49     28.52
1951     29.41     28.45
1952     29.24     28.30
1953     29.12     28.21
1954     28.94     28.06
1955     28.89     28.00
1956     28.72     27.89
1957     28.61     27.77
1958     28.53     27.71
1959     28.44     27.66
1960     28.31     27.57
1961     28.29     27.54
1962     28.07     27.37
1963     28.05     27.37
1964     28.01     27.32
1965     27.99     27.33
1966     27.78     27.18
1967     27.68     27.09
1968     27.46     26.90
1969     27.37     26.86
1970     27.14     26.72
1971     26.92     26.56
1972     26.81     26.48
1973     26.93     26.61
1974     26.96     26.65
1975     27.05     26.75
1976     27.16     26.89
1977     27.32     27.04
1978     27.49     27.22
1979     27.66     27.37
1980     27.70     27.41
1981     27.87     27.59
1982     27.94     27.64
1983     28.15     27.86
1984     28.30     28.00
1985     28.43     28.13
1986     28.54     28.25
1987     28.68     28.36
1988     28.74     28.44
1989     28.77     28.48
1990     28.88     28.57
1991     28.86     28.58
1992     28.94     28.64
1993     29.00     28.71
1994     29.12     28.83
1995     29.29     28.98
1996     29.34     29.04
1997     29.44     29.10
1998     29.54     29.18
1999     29.57     29.21
2000     29.59     29.23
2001     29.65     29.27
2002     29.71     29.33
2003     29.82     29.42
2004     29.87     29.48
2005     29.91     29.52
2006     29.98     29.60
2007     30.03     29.63
2008     30.10     29.71
2009     30.12     29.71
2010     30.18     29.78
2011     30.30     29.87
2012     30.37     29.92
2013     30.46     30.00
2014     30.48     30.02
2015     30.59     30.13
2016     30.77     30.22
2017     30.88     30.34
2018     30.98     30.44
2019     31.09     30.52
