Finland, Cohort mean ages at birth and cohort mean ages at birth by age 40
Last modified: 05/11/2020
Cohort    CMAB    CMAB40
1924     28.60     28.11
1925     28.35     27.92
1926     28.15     27.75
1927     27.95     27.61
1928     27.80     27.51
1929     27.66     27.41
1930     27.50     27.29
1931     27.38     27.17
1932     27.20     27.01
1933     27.00     26.80
1934     26.81     26.61
1935     26.66     26.46
1936     26.56     26.34
1937     26.48     26.25
1938     26.42     26.19
1939     26.38     26.13
1940     26.41     26.16
1941     26.42     26.14
1942     26.49     26.19
1943     26.54     26.25
1944     26.61     26.30
1945     26.73     26.43
1946     26.85     26.57
1947     27.05     26.74
1948     27.15     26.83
1949     27.27     26.94
1950     27.38     27.05
1951     27.52     27.19
1952     27.60     27.27
1953     27.78     27.45
1954     27.86     27.54
1955     27.96     27.63
1956     28.11     27.75
1957     28.22     27.86
1958     28.38     28.02
1959     28.51     28.15
1960     28.71     28.36
1961     28.86     28.48
1962     28.98     28.58
1963     29.11     28.73
1964     29.18     28.79
1965     29.27     28.86
1966     29.33     28.92
1967     29.47     29.05
1968     29.52     29.09
1969     29.58     29.12
1970         .     29.17
1971         .     29.30
1972         .     29.37
1973         .     29.47
1974         .     29.56
1975         .     29.61
1976         .     29.68
1977         .     29.69
1978         .     29.66
1979         .     29.72
