Finland, Standard deviation in period mean ages at birth and standard deviation in period mean ages at birth by age 40
Last modified: 05/11/2020
Year      sdMAB    sdMAB40
1939       6.58       5.55
1940       6.68       5.58
1941       6.37       5.36
1942       6.56       5.47
1943       6.38       5.39
1944       6.40       5.40
1945       6.26       5.33
1946       6.37       5.47
1947       6.38       5.50
1948       6.40       5.51
1949       6.44       5.55
1950       6.44       5.56
1951       6.41       5.53
1952       6.42       5.54
1953       6.42       5.56
1954       6.40       5.56
1955       6.41       5.55
1956       6.34       5.52
1957       6.34       5.50
1958       6.31       5.49
1959       6.27       5.46
1960       6.21       5.43
1961       6.21       5.42
1962       6.16       5.40
1963       6.14       5.40
1964       6.15       5.39
1965       6.15       5.43
1966       6.06       5.40
1967       6.06       5.39
1968       6.02       5.37
1969       5.98       5.39
1970       5.82       5.30
1971       5.62       5.17
1972       5.54       5.11
1973       5.54       5.11
1974       5.47       5.07
1975       5.45       5.07
1976       5.40       5.05
1977       5.41       5.05
1978       5.38       5.06
1979       5.40       5.04
1980       5.39       5.04
1981       5.32       4.98
1982       5.30       4.93
1983       5.29       4.94
1984       5.29       4.95
1985       5.27       4.93
1986       5.22       4.88
1987       5.21       4.85
1988       5.17       4.82
1989       5.13       4.79
1990       5.19       4.84
1991       5.16       4.84
1992       5.17       4.83
1993       5.13       4.80
1994       5.12       4.80
1995       5.16       4.82
1996       5.21       4.87
1997       5.23       4.87
1998       5.28       4.91
1999       5.32       4.95
2000       5.34       4.97
2001       5.38       5.00
2002       5.40       5.01
2003       5.36       4.96
2004       5.38       4.99
2005       5.36       4.98
2006       5.33       4.96
2007       5.35       4.96
2008       5.35       4.97
2009       5.35       4.96
2010       5.34       4.95
2011       5.34       4.93
2012       5.37       4.95
2013       5.36       4.93
2014       5.38       4.94
2015       5.34       4.92
2016       5.42       4.92
2017       5.39       4.89
2018       5.37       4.89
2019       5.38       4.87
