Finland, Standard deviation in cohort mean ages at birth and standard deviation in cohort mean ages at birth by age 40
Last modified: 05/11/2020
Cohort   sdCMAB   sdCMAB40
1924       5.55       5.01
1925       5.57       5.09
1926       5.58       5.14
1927       5.54       5.15
1928       5.49       5.15
1929       5.41       5.12
1930       5.33       5.07
1931       5.27       5.01
1932       5.17       4.91
1933       5.09       4.83
1934       5.05       4.77
1935       5.02       4.72
1936       5.03       4.71
1937       5.03       4.69
1938       5.07       4.74
1939       5.15       4.78
1940       5.21       4.85
1941       5.34       4.96
1942       5.45       5.06
1943       5.52       5.14
1944       5.61       5.23
1945       5.68       5.32
1946       5.68       5.33
1947       5.72       5.35
1948       5.73       5.34
1949       5.71       5.33
1950       5.73       5.35
1951       5.70       5.32
1952       5.69       5.31
1953       5.68       5.31
1954       5.67       5.30
1955       5.67       5.30
1956       5.70       5.31
1957       5.69       5.30
1958       5.68       5.30
1959       5.65       5.26
1960       5.59       5.21
1961       5.57       5.18
1962       5.56       5.15
1963       5.48       5.08
1964       5.47       5.05
1965       5.48       5.04
1966       5.45       5.03
1967       5.46       5.03
1968       5.50       5.07
1969       5.56       5.11
1970          .       5.13
1971          .       5.13
1972          .       5.16
1973          .       5.13
1974          .       5.09
1975          .       5.07
1976          .       5.00
1977          .       4.97
1978          .       5.02
1979          .       4.98
