Finland, Period total fertility rates and period total fertility rates by age 40
Last modified: 05/11/2020
Year       TFR     TFR40
1939     2.550     2.322
1940     2.147     1.938
1941     2.904     2.655
1942     2.003     1.801
1943     2.467     2.228
1944     2.565     2.333
1945     3.080     2.840
1946     3.401     3.149
1947     3.463     3.223
1948     3.452     3.211
1949     3.319     3.087
1950     3.152     2.931
1951     3.007     2.800
1952     3.059     2.856
1953     2.953     2.762
1954     2.931     2.751
1955     2.938     2.756
1956     2.920     2.752
1957     2.865     2.702
1958     2.681     2.531
1959     2.756     2.609
1960     2.721     2.584
1961     2.716     2.579
1962     2.684     2.559
1963     2.686     2.564
1964     2.597     2.477
1965     2.479     2.371
1966     2.409     2.315
1967     2.323     2.233
1968     2.140     2.062
1969     1.930     1.866
1970     1.826     1.776
1971     1.685     1.646
1972     1.576     1.543
1973     1.492     1.460
1974     1.613     1.581
1975     1.681     1.649
1976     1.704     1.673
1977     1.679     1.648
1978     1.643     1.614
1979     1.636     1.603
1980     1.632     1.599
1981     1.645     1.613
1982     1.715     1.679
1983     1.736     1.701
1984     1.694     1.658
1985     1.643     1.607
1986     1.597     1.563
1987     1.586     1.550
1988     1.693     1.655
1989     1.708     1.671
1990     1.782     1.741
1991     1.794     1.756
1992     1.848     1.806
1993     1.814     1.774
1994     1.846     1.805
1995     1.807     1.763
1996     1.764     1.721
1997     1.746     1.701
1998     1.700     1.653
1999     1.735     1.686
2000     1.729     1.680
2001     1.726     1.675
2002     1.718     1.666
2003     1.759     1.703
2004     1.800     1.742
2005     1.803     1.746
2006     1.837     1.779
2007     1.829     1.769
2008     1.847     1.786
2009     1.865     1.802
2010     1.870     1.807
2011     1.827     1.761
2012     1.801     1.732
2013     1.747     1.680
2014     1.711     1.644
2015     1.650     1.586
2016     1.567     1.494
2017     1.490     1.420
2018     1.407     1.340
2019     1.347     1.281
