Finland, Completed cohort fertility and completed cohort fertility by age 40
Last modified: 05/11/2020
Cohort     CCF     CCF40
1924     2.588     2.497
1925     2.580     2.500
1926     2.558     2.485
1927     2.545     2.483
1928     2.530     2.478
1929     2.481     2.438
1930     2.462     2.427
1931     2.437     2.404
1932     2.393     2.362
1933     2.354     2.323
1934     2.325     2.296
1935     2.299     2.269
1936     2.245     2.214
1937     2.175     2.143
1938     2.144     2.112
1939     2.108     2.074
1940     2.034     2.002
1941     1.973     1.939
1942     1.953     1.916
1943     1.921     1.885
1944     1.892     1.855
1945     1.881     1.845
1946     1.864     1.830
1947     1.863     1.825
1948     1.850     1.811
1949     1.859     1.818
1950     1.847     1.806
1951     1.864     1.823
1952     1.853     1.812
1953     1.859     1.817
1954     1.882     1.839
1955     1.896     1.853
1956     1.912     1.864
1957     1.934     1.886
1958     1.946     1.897
1959     1.947     1.897
1960     1.962     1.910
1961     1.952     1.898
1962     1.941     1.884
1963     1.943     1.887
1964     1.920     1.862
1965     1.925     1.864
1966     1.901     1.842
1967     1.890     1.827
1968     1.914     1.849
1969     1.903     1.836
1970         .     1.819
1971         .     1.827
1972         .     1.838
1973         .     1.828
1974         .     1.822
1975         .     1.837
1976         .     1.824
1977         .     1.825
1978         .     1.806
1979         .     1.784
