England and Wales, Period mean ages at birth and period mean ages at birth by age 40
Last modified: 27/07/2020
Year       MAB     MAB40
1938     29.01     28.34
1939     28.95     28.31
1940     28.78     28.14
1941     28.76     28.08
1942     28.88     28.23
1943     29.08     28.43
1944     29.28     28.66
1945     29.17     28.50
1946     29.11     28.56
1947     28.70     28.16
1948     28.45     27.90
1949     28.25     27.73
1950     28.22     27.72
1951     28.15     27.67
1952     28.06     27.59
1953     27.97     27.52
1954     27.90     27.45
1955     27.81     27.37
1956     27.68     27.26
1957     27.64     27.23
1958     27.57     27.18
1959     27.53     27.15
1960     27.52     27.13
1961     27.45     27.06
1962     27.37     26.99
1963     27.33     26.97
1964     27.34     26.97
1965     27.26     26.90
1966     27.14     26.79
1967     27.08     26.73
1968     26.97     26.64
1969     26.87     26.55
1970     26.72     26.42
1971     26.62     26.33
1972     26.52     26.24
1973     26.41     26.15
1974     26.36     26.12
1975     26.44     26.20
1976     26.52     26.30
1977     26.64     26.43
1978     26.72     26.52
1979     26.83     26.64
1980     26.89     26.69
1981     27.02     26.81
1982     27.11     26.90
1983     27.21     27.00
1984     27.28     27.08
1985     27.32     27.12
1986     27.38     27.18
1987     27.45     27.25
1988     27.45     27.25
1989     27.56     27.35
1990     27.65     27.44
1991     27.71     27.49
1992     27.85     27.62
1993     27.95     27.70
1994     28.12     27.87
1995     28.18     27.91
1996     28.19     27.90
1997     28.28     27.98
1998     28.34     28.04
1999     28.39     28.07
2000     28.51     28.17
2001     28.59     28.23
2002     28.72     28.35
2003     28.86     28.48
2004     28.96     28.58
2005     29.07     28.67
2006     29.16     28.75
2007     29.29     28.87
2008     29.32     28.89
2009     29.39     28.94
2010     29.52     29.07
2011     29.68     29.21
2012     29.81     29.32
2013     29.98     29.49
2014     30.16     29.65
2015     30.29     29.76
2016     30.42     29.88
2017     30.50     29.94
2018     30.59     30.02
