England and Wales, Cohort mean ages at birth and cohort mean ages at birth by age 40
Last modified: 27/07/2020
Cohort    CMAB    CMAB40
1923     28.39     27.95
1924     28.32     27.90
1925     28.28     27.89
1926     28.23     27.88
1927     28.16     27.84
1928     28.08     27.79
1929     28.02     27.76
1930     27.95     27.71
1931     27.80     27.59
1932     27.66     27.47
1933     27.49     27.32
1934     27.30     27.13
1935     27.10     26.95
1936     26.91     26.76
1937     26.70     26.56
1938     26.51     26.36
1939     26.35     26.19
1940     26.20     26.03
1941     26.06     25.90
1942     26.00     25.84
1943     25.95     25.79
1944     25.91     25.75
1945     25.96     25.78
1946     26.03     25.85
1947     26.14     25.96
1948     26.25     26.06
1949     26.37     26.16
1950     26.49     26.26
1951     26.61     26.37
1952     26.75     26.51
1953     26.91     26.66
1954     27.06     26.80
1955     27.21     26.93
1956     27.33     27.04
1957     27.48     27.18
1958     27.64     27.34
1959     27.77     27.44
1960     27.87     27.53
1961     27.98     27.62
1962     28.11     27.74
1963     28.26     27.86
1964     28.38     27.96
1965     28.45     28.01
1966     28.49     28.02
1967     28.53     28.06
1968     28.63     28.14
1969         .     28.27
1970         .     28.40
1971         .     28.54
1972         .     28.67
1973         .     28.78
1974         .     28.89
1975         .     28.95
1976         .     28.98
1977         .     29.04
1978         .     29.02
