England and Wales, Standard deviation in period mean ages at birth and standard deviation in period mean ages at birth by age 40
Last modified: 27/07/2020
Year      sdMAB    sdMAB40
1938       5.99       5.33
1939       5.98       5.33
1940       5.98       5.31
1941       6.06       5.37
1942       5.97       5.31
1943       5.98       5.34
1944       5.96       5.35
1945       6.09       5.46
1946       5.83       5.27
1947       5.82       5.26
1948       5.92       5.34
1949       5.88       5.32
1950       5.85       5.30
1951       5.80       5.26
1952       5.78       5.25
1953       5.74       5.23
1954       5.74       5.22
1955       5.70       5.20
1956       5.68       5.18
1957       5.66       5.17
1958       5.64       5.17
1959       5.64       5.19
1960       5.66       5.20
1961       5.68       5.22
1962       5.67       5.22
1963       5.66       5.22
1964       5.68       5.23
1965       5.69       5.25
1966       5.67       5.24
1967       5.69       5.27
1968       5.68       5.26
1969       5.66       5.26
1970       5.61       5.23
1971       5.57       5.20
1972       5.54       5.18
1973       5.45       5.10
1974       5.37       5.04
1975       5.32       5.00
1976       5.24       4.93
1977       5.20       4.92
1978       5.19       4.91
1979       5.18       4.91
1980       5.19       4.91
1981       5.20       4.91
1982       5.22       4.94
1983       5.22       4.94
1984       5.25       4.98
1985       5.29       5.03
1986       5.34       5.09
1987       5.38       5.13
1988       5.43       5.19
1989       5.48       5.24
1990       5.51       5.27
1991       5.57       5.31
1992       5.59       5.33
1993       5.64       5.37
1994       5.66       5.39
1995       5.73       5.44
1996       5.80       5.51
1997       5.86       5.56
1998       5.91       5.60
1999       5.95       5.63
2000       5.99       5.66
2001       6.01       5.67
2002       6.02       5.68
2003       6.01       5.66
2004       6.01       5.66
2005       6.02       5.65
2006       6.03       5.66
2007       6.02       5.65
2008       6.02       5.63
2009       6.02       5.63
2010       5.98       5.59
2011       5.95       5.54
2012       5.93       5.51
2013       5.89       5.45
2014       5.84       5.40
2015       5.81       5.36
2016       5.80       5.33
2017       5.79       5.31
2018       5.78       5.29
