England and Wales, Standard deviation in cohort mean ages at birth and standard deviation in cohort mean ages at birth by age 40
Last modified: 27/07/2020
Cohort   sdCMAB   sdCMAB40
1923       5.61       5.12
1924       5.62       5.15
1925       5.61       5.18
1926       5.58       5.20
1927       5.54       5.19
1928       5.48       5.15
1929       5.40       5.10
1930       5.31       5.03
1931       5.22       4.95
1932       5.13       4.88
1933       5.03       4.80
1934       4.95       4.71
1935       4.87       4.65
1936       4.80       4.58
1937       4.75       4.53
1938       4.73       4.49
1939       4.74       4.48
1940       4.77       4.50
1941       4.80       4.54
1942       4.85       4.59
1943       4.92       4.67
1944       5.02       4.76
1945       5.11       4.85
1946       5.19       4.93
1947       5.26       5.00
1948       5.35       5.09
1949       5.45       5.17
1950       5.54       5.25
1951       5.62       5.32
1952       5.66       5.35
1953       5.68       5.38
1954       5.71       5.39
1955       5.71       5.38
1956       5.71       5.37
1957       5.70       5.36
1958       5.69       5.34
1959       5.72       5.35
1960       5.75       5.37
1961       5.78       5.38
1962       5.80       5.39
1963       5.82       5.39
1964       5.86       5.42
1965       5.92       5.46
1966       6.00       5.52
1967       6.07       5.60
1968       6.15       5.68
1969          .       5.75
1970          .       5.80
1971          .       5.84
1972          .       5.87
1973          .       5.87
1974          .       5.86
1975          .       5.85
1976          .       5.85
1977          .       5.85
1978          .       5.84
