England and Wales, Period total fertility rates and period total fertility rates by age 40
Last modified: 27/07/2020
Year       TFR     TFR40
1938     1.831     1.744
1939     1.817     1.734
1940     1.747     1.667
1941     1.718     1.635
1942     1.932     1.842
1943     2.028     1.934
1944     2.235     2.132
1945     2.033     1.934
1946     2.474     2.372
1947     2.685     2.581
1948     2.390     2.297
1949     2.269     2.188
1950     2.181     2.105
1951     2.139     2.067
1952     2.152     2.082
1953     2.214     2.145
1954     2.207     2.139
1955     2.214     2.149
1956     2.346     2.280
1957     2.442     2.375
1958     2.516     2.449
1959     2.552     2.487
1960     2.679     2.609
1961     2.764     2.693
1962     2.845     2.774
1963     2.880     2.810
1964     2.930     2.858
1965     2.845     2.777
1966     2.753     2.689
1967     2.648     2.587
1968     2.567     2.511
1969     2.468     2.417
1970     2.395     2.349
1971     2.364     2.320
1972     2.167     2.128
1973     2.001     1.968
1974     1.885     1.856
1975     1.773     1.746
1976     1.708     1.685
1977     1.657     1.635
1978     1.727     1.705
1979     1.837     1.814
1980     1.875     1.851
1981     1.800     1.775
1982     1.761     1.738
1983     1.754     1.730
1984     1.753     1.730
1985     1.782     1.758
1986     1.771     1.748
1987     1.807     1.782
1988     1.823     1.798
1989     1.798     1.772
1990     1.839     1.812
1991     1.820     1.792
1992     1.798     1.769
1993     1.765     1.734
1994     1.750     1.718
1995     1.719     1.685
1996     1.737     1.702
1997     1.733     1.695
1998     1.724     1.686
1999     1.696     1.656
2000     1.654     1.613
2001     1.635     1.592
2002     1.644     1.599
2003     1.718     1.670
2004     1.766     1.715
2005     1.775     1.721
2006     1.831     1.774
2007     1.877     1.817
2008     1.920     1.857
2009     1.904     1.840
2010     1.939     1.871
2011     1.929     1.857
2012     1.936     1.862
2013     1.846     1.773
2014     1.828     1.752
2015     1.823     1.745
2016     1.809     1.728
2017     1.758     1.677
2018     1.696     1.616
