England and Wales, Completed cohort fertility and completed cohort fertility by age 40
Last modified: 27/07/2020
Cohort     CCF     CCF40
1923     2.095     2.029
1924     2.119     2.055
1925     2.156     2.097
1926     2.197     2.142
1927     2.215     2.164
1928     2.243     2.197
1929     2.299     2.256
1930     2.354     2.314
1931     2.353     2.318
1932     2.360     2.329
1933     2.389     2.361
1934     2.409     2.383
1935     2.411     2.387
1936     2.397     2.374
1937     2.378     2.356
1938     2.367     2.344
1939     2.372     2.348
1940     2.343     2.319
1941     2.280     2.257
1942     2.250     2.227
1943     2.245     2.223
1944     2.215     2.193
1945     2.144     2.121
1946     2.127     2.103
1947     2.135     2.111
1948     2.093     2.067
1949     2.060     2.032
1950     2.049     2.019
1951     2.037     2.006
1952     2.046     2.014
1953     2.042     2.008
1954     2.020     1.984
1955     2.008     1.971
1956     2.016     1.978
1957     2.008     1.968
1958     1.981     1.939
1959     1.978     1.935
1960     1.976     1.930
1961     1.947     1.899
1962     1.928     1.878
1963     1.926     1.872
1964     1.924     1.867
1965     1.918     1.857
1966     1.908     1.845
1967     1.910     1.845
1968     1.915     1.848
1969         .     1.842
1970         .     1.839
1971         .     1.830
1972         .     1.817
1973         .     1.818
1974         .     1.831
1975         .     1.844
1976         .     1.859
1977         .     1.861
1978         .     1.865
