Portugal, Cohort mean ages at birth and cohort mean ages at birth by age 40
Last modified: 13/03/2020
Cohort    CMAB    CMAB40
1925     29.72     28.79
1926     29.71     28.81
1927     29.66     28.78
1928     29.63     28.78
1929     29.56     28.75
1930     29.42     28.67
1931     29.40     28.67
1932     29.33     28.62
1933     29.21     28.55
1934     29.05     28.44
1935     28.85     28.31
1936     28.69     28.20
1937     28.50     28.06
1938     28.34     27.94
1939     28.16     27.77
1940     27.87     27.52
1941     27.65     27.32
1942     27.45     27.15
1943     27.32     27.04
1944     27.20     26.93
1945     27.09     26.84
1946     26.99     26.75
1947     26.80     26.59
1948     26.81     26.60
1949     26.74     26.53
1950     26.74     26.51
1951     26.65     26.44
1952     26.57     26.35
1953     26.42     26.20
1954     26.27     26.05
1955     26.14     25.91
1956     26.10     25.86
1957     26.06     25.81
1958     26.16     25.91
1959     26.31     26.04
1960     26.51     26.22
1961     26.76     26.45
1962     26.90     26.59
1963     27.13     26.81
1964     27.22     26.91
1965     27.47     27.13
1966     27.57     27.24
1967     27.78     27.44
1968     28.00     27.63
1969         .     27.80
1970         .     28.07
1971         .     28.21
1972         .     28.35
1973         .     28.46
1974         .     28.57
1975         .     28.70
1976         .     28.76
1977         .     28.92
1978         .     29.15
