Portugal, Standard deviation in cohort mean ages at birth and standard deviation in cohort mean ages at birth by age 40
Last modified: 13/03/2020
Cohort   sdCMAB   sdCMAB40
1925       6.39       5.57
1926       6.36       5.57
1927       6.35       5.57
1928       6.30       5.55
1929       6.24       5.51
1930       6.16       5.46
1931       6.11       5.42
1932       6.06       5.39
1933       5.99       5.35
1934       5.91       5.31
1935       5.84       5.27
1936       5.77       5.24
1937       5.68       5.20
1938       5.59       5.14
1939       5.55       5.10
1940       5.49       5.07
1941       5.42       5.02
1942       5.35       4.97
1943       5.29       4.93
1944       5.22       4.88
1945       5.20       4.86
1946       5.17       4.86
1947       5.11       4.82
1948       5.17       4.88
1949       5.16       4.86
1950       5.17       4.86
1951       5.16       4.87
1952       5.16       4.85
1953       5.18       4.87
1954       5.23       4.91
1955       5.29       4.96
1956       5.39       5.05
1957       5.49       5.15
1958       5.60       5.26
1959       5.70       5.35
1960       5.79       5.43
1961       5.86       5.50
1962       5.86       5.49
1963       5.90       5.54
1964       5.90       5.55
1965       5.93       5.57
1966       5.93       5.56
1967       5.95       5.59
1968       5.96       5.57
1969          .       5.57
1970          .       5.56
1971          .       5.55
1972          .       5.54
1973          .       5.55
1974          .       5.56
1975          .       5.57
1976          .       5.63
1977          .       5.69
1978          .       5.73
