Portugal, Completed cohort fertility and completed cohort fertility by age 40
Last modified: 13/03/2020
Cohort     CCF     CCF40
1925     2.980     2.774
1926     2.985     2.785
1927     2.963     2.769
1928     2.966     2.778
1929     2.964     2.786
1930     2.925     2.763
1931     2.955     2.796
1932     2.949     2.795
1933     2.923     2.781
1934     2.910     2.780
1935     2.876     2.762
1936     2.864     2.761
1937     2.847     2.757
1938     2.856     2.775
1939     2.801     2.725
1940     2.663     2.598
1941     2.606     2.548
1942     2.548     2.497
1943     2.527     2.480
1944     2.495     2.452
1945     2.405     2.366
1946     2.350     2.313
1947     2.256     2.226
1948     2.204     2.173
1949     2.129     2.100
1950     2.093     2.063
1951     2.070     2.042
1952     2.055     2.027
1953     2.035     2.007
1954     2.027     1.999
1955     2.039     2.011
1956     2.033     2.003
1957     1.989     1.959
1958     1.989     1.958
1959     1.947     1.913
1960     1.909     1.873
1961     1.884     1.846
1962     1.897     1.858
1963     1.849     1.811
1964     1.838     1.800
1965     1.838     1.796
1966     1.819     1.778
1967     1.803     1.761
1968     1.756     1.711
1969         .     1.676
1970         .     1.643
1971         .     1.614
1972         .     1.603
1973         .     1.580
1974         .     1.533
1975         .     1.523
1976         .     1.514
1977         .     1.509
1978         .     1.493
