Sweden, Period mean ages at birth and period mean ages at birth by age 40
Last modified: 05/11/2020
Year       MAB     MAB40
1891     32.44     30.73
1892     32.36     30.66
1893     32.38     30.70
1894     32.38     30.66
1895     32.24     30.58
1896     32.18     30.52
1897     32.12     30.46
1898     32.03     30.43
1899     31.97     30.36
1900     31.92     30.33
1901     31.82     30.25
1902     31.78     30.22
1903     31.75     30.20
1904     31.71     30.18
1905     31.71     30.17
1906     31.62     30.09
1907     31.53     30.03
1908     31.41     29.94
1909     31.41     29.95
1910     31.40     29.94
1911     31.39     29.94
1912     31.33     29.87
1913     31.27     29.82
1914     31.22     29.75
1915     31.28     29.79
1916     31.24     29.79
1917     31.23     29.76
1918     31.23     29.77
1919     31.03     29.67
1920     30.79     29.44
1921     30.76     29.40
1922     30.86     29.48
1923     30.85     29.48
1924     30.83     29.47
1925     30.66     29.34
1926     30.62     29.30
1927     30.49     29.22
1928     30.41     29.14
1929     30.28     29.04
1930     30.13     28.94
1931     30.04     28.89
1932     29.96     28.84
1933     29.94     28.81
1934     29.89     28.80
1935     29.68     28.68
1936     29.66     28.67
1937     29.52     28.59
1938     29.42     28.52
1939     29.35     28.47
1940     29.19     28.35
1941     29.18     28.38
1942     29.36     28.60
1943     29.29     28.56
1944     29.14     28.43
1945     28.99     28.28
1946     28.87     28.15
1947     28.67     27.95
1948     28.56     27.84
1949     28.42     27.75
1950     28.18     27.55
1951     28.03     27.41
1952     27.92     27.32
1953     27.83     27.26
1954     27.79     27.24
1955     27.66     27.14
1956     27.60     27.11
1957     27.59     27.11
1958     27.54     27.08
1959     27.47     27.03
1960     27.46     27.03
1961     27.41     27.01
1962     27.31     26.93
1963     27.31     26.94
1964     27.24     26.89
1965     27.15     26.81
1966     27.06     26.74
1967     27.01     26.69
1968     27.02     26.74
1969     27.07     26.78
1970     26.96     26.70
1971     26.84     26.60
1972     26.76     26.54
1973     26.73     26.54
1974     26.69     26.50
1975     26.70     26.53
1976     26.87     26.69
1977     26.98     26.81
1978     27.18     27.01
1979     27.45     27.26
1980     27.56     27.38
1981     27.72     27.52
1982     27.88     27.68
1983     28.04     27.84
1984     28.25     28.03
1985     28.36     28.14
1986     28.41     28.19
1987     28.50     28.29
1988     28.52     28.30
1989     28.56     28.34
1990     28.58     28.35
1991     28.72     28.48
1992     28.87     28.62
1993     28.98     28.72
1994     29.13     28.86
1995     29.22     28.94
1996     29.36     29.07
1997     29.47     29.16
1998     29.71     29.40
1999     29.78     29.46
2000     29.85     29.53
2001     30.00     29.67
2002     30.07     29.73
2003     30.25     29.91
2004     30.37     30.01
2005     30.45     30.09
2006     30.54     30.17
2007     30.59     30.20
2008     30.58     30.19
2009     30.68     30.27
2010     30.74     30.32
2011     30.82     30.38
2012     30.87     30.42
2013     30.93     30.48
2014     30.97     30.50
2015     30.98     30.51
2016     31.05     30.56
2017     31.13     30.60
2018     31.12     30.62
2019     31.27     30.72
