Sweden, Cohort mean ages at birth and cohort mean ages at birth by age 40
Last modified: 05/11/2020
Cohort    CMAB    CMAB40
1876     31.04     29.89
1877     30.92     29.78
1878     30.80     29.68
1879     30.68     29.56
1880     30.60     29.50
1881     30.54     29.49
1882     30.43     29.43
1883     30.32     29.35
1884     30.23     29.30
1885     30.12     29.22
1886     29.98     29.11
1887     29.83     29.00
1888     29.74     28.92
1889     29.65     28.85
1890     29.56     28.78
1891     29.42     28.67
1892     29.32     28.57
1893     29.25     28.50
1894     29.17     28.42
1895     29.09     28.34
1896     29.04     28.27
1897     28.98     28.21
1898     28.99     28.21
1899     29.06     28.23
1900     29.15     28.27
1901     29.22     28.30
1902     29.34     28.38
1903     29.52     28.55
1904     29.66     28.71
1905     29.78     28.87
1906     29.90     29.05
1907     29.89     29.12
1908     29.90     29.20
1909     29.89     29.24
1910     29.84     29.23
1911     29.77     29.20
1912     29.65     29.10
1913     29.49     28.97
1914     29.33     28.83
1915     29.19     28.70
1916     29.00     28.53
1917     28.77     28.33
1918     28.56     28.13
1919     28.35     27.95
1920     28.25     27.85
1921     28.12     27.74
1922     28.02     27.64
1923     27.91     27.54
1924     27.81     27.46
1925     27.68     27.36
1926     27.56     27.27
1927     27.47     27.21
1928     27.39     27.16
1929     27.31     27.09
1930     27.20     27.01
1931     27.09     26.92
1932     26.98     26.83
1933     26.88     26.72
1934     26.76     26.62
1935     26.67     26.53
1936     26.60     26.45
1937     26.50     26.35
1938     26.46     26.30
1939     26.42     26.25
1940     26.40     26.22
1941     26.37     26.19
1942     26.40     26.21
1943     26.39     26.18
1944     26.39     26.16
1945     26.40     26.18
1946     26.48     26.25
1947     26.61     26.35
1948     26.75     26.48
1949     26.93     26.66
1950     27.15     26.85
1951     27.34     27.05
1952     27.50     27.22
1953     27.69     27.41
1954     27.84     27.57
1955     27.98     27.72
1956     28.13     27.87
1957     28.33     28.07
1958     28.45     28.18
1959     28.60     28.31
1960     28.64     28.32
1961     28.71     28.38
1962     28.75     28.40
1963     28.79     28.41
1964     28.86     28.47
1965     28.93     28.51
1966     29.08     28.63
1967     29.12     28.68
1968     29.33     28.86
1969     29.50     29.03
1970         .     29.25
1971         .     29.53
1972         .     29.71
1973         .     29.96
1974         .     30.13
1975         .     30.18
1976         .     30.32
1977         .     30.35
1978         .     30.35
1979         .     30.33
