Sweden, Standard deviation in period mean ages at birth and standard deviation in period mean ages at birth by age 40
Last modified: 05/11/2020
Year      sdMAB    sdMAB40
1891       6.51       5.35
1892       6.52       5.35
1893       6.51       5.36
1894       6.54       5.37
1895       6.52       5.38
1896       6.55       5.42
1897       6.57       5.42
1898       6.56       5.44
1899       6.58       5.46
1900       6.58       5.46
1901       6.59       5.47
1902       6.59       5.48
1903       6.58       5.47
1904       6.56       5.47
1905       6.58       5.47
1906       6.59       5.48
1907       6.60       5.51
1908       6.62       5.54
1909       6.63       5.56
1910       6.65       5.59
1911       6.65       5.60
1912       6.68       5.63
1913       6.68       5.63
1914       6.71       5.64
1915       6.72       5.63
1916       6.66       5.58
1917       6.68       5.60
1918       6.66       5.58
1919       6.58       5.54
1920       6.69       5.65
1921       6.71       5.66
1922       6.71       5.65
1923       6.68       5.63
1924       6.68       5.63
1925       6.68       5.64
1926       6.69       5.66
1927       6.71       5.71
1928       6.72       5.70
1929       6.70       5.71
1930       6.70       5.72
1931       6.66       5.70
1932       6.63       5.70
1933       6.64       5.69
1934       6.62       5.70
1935       6.56       5.69
1936       6.50       5.64
1937       6.46       5.64
1938       6.44       5.63
1939       6.42       5.63
1940       6.40       5.62
1941       6.31       5.57
1942       6.21       5.50
1943       6.21       5.52
1944       6.23       5.57
1945       6.27       5.61
1946       6.30       5.62
1947       6.33       5.65
1948       6.35       5.66
1949       6.32       5.66
1950       6.29       5.66
1951       6.27       5.63
1952       6.22       5.59
1953       6.18       5.57
1954       6.14       5.56
1955       6.07       5.50
1956       6.01       5.47
1957       5.98       5.44
1958       5.92       5.40
1959       5.88       5.37
1960       5.87       5.36
1961       5.81       5.34
1962       5.78       5.33
1963       5.74       5.30
1964       5.72       5.31
1965       5.74       5.33
1966       5.72       5.33
1967       5.69       5.30
1968       5.59       5.25
1969       5.53       5.16
1970       5.46       5.12
1971       5.38       5.07
1972       5.30       5.01
1973       5.23       4.96
1974       5.20       4.94
1975       5.12       4.88
1976       5.12       4.88
1977       5.07       4.84
1978       5.06       4.83
1979       5.07       4.82
1980       5.05       4.81
1981       5.06       4.81
1982       5.05       4.79
1983       5.01       4.76
1984       5.00       4.72
1985       4.99       4.73
1986       5.00       4.74
1987       4.99       4.73
1988       5.01       4.76
1989       5.07       4.81
1990       5.10       4.83
1991       5.10       4.82
1992       5.10       4.81
1993       5.09       4.80
1994       5.09       4.79
1995       5.11       4.81
1996       5.13       4.81
1997       5.12       4.80
1998       5.12       4.79
1999       5.14       4.81
2000       5.14       4.81
2001       5.14       4.80
2002       5.12       4.78
2003       5.09       4.76
2004       5.11       4.75
2005       5.10       4.75
2006       5.11       4.75
2007       5.16       4.79
2008       5.17       4.80
2009       5.19       4.80
2010       5.18       4.79
2011       5.20       4.80
2012       5.19       4.76
2013       5.17       4.75
2014       5.15       4.72
2015       5.15       4.71
2016       5.18       4.72
2017       5.22       4.73
2018       5.20       4.74
2019       5.21       4.70
