Sweden, Standard deviation in cohort mean ages at birth and standard deviation in cohort mean ages at birth by age 40
Last modified: 05/11/2020
Cohort   sdCMAB   sdCMAB40
1876       6.23       5.29
1877       6.24       5.30
1878       6.24       5.31
1879       6.26       5.32
1880       6.26       5.35
1881       6.26       5.38
1882       6.25       5.40
1883       6.24       5.42
1884       6.23       5.42
1885       6.21       5.42
1886       6.19       5.42
1887       6.17       5.42
1888       6.17       5.43
1889       6.16       5.43
1890       6.13       5.41
1891       6.10       5.38
1892       6.09       5.38
1893       6.09       5.37
1894       6.10       5.37
1895       6.12       5.38
1896       6.14       5.38
1897       6.16       5.40
1898       6.19       5.43
1899       6.29       5.49
1900       6.37       5.54
1901       6.44       5.59
1902       6.49       5.64
1903       6.51       5.69
1904       6.52       5.74
1905       6.51       5.77
1906       6.47       5.80
1907       6.40       5.79
1908       6.32       5.76
1909       6.24       5.71
1910       6.15       5.63
1911       6.02       5.52
1912       5.91       5.41
1913       5.83       5.33
1914       5.74       5.26
1915       5.68       5.18
1916       5.64       5.15
1917       5.61       5.14
1918       5.60       5.13
1919       5.59       5.14
1920       5.60       5.15
1921       5.62       5.18
1922       5.62       5.19
1923       5.61       5.20
1924       5.63       5.24
1925       5.63       5.28
1926       5.63       5.31
1927       5.62       5.32
1928       5.58       5.31
1929       5.53       5.27
1930       5.45       5.23
1931       5.40       5.20
1932       5.33       5.14
1933       5.26       5.06
1934       5.20       5.02
1935       5.14       4.96
1936       5.11       4.91
1937       5.07       4.86
1938       5.07       4.84
1939       5.08       4.83
1940       5.10       4.85
1941       5.17       4.91
1942       5.22       4.95
1943       5.31       5.01
1944       5.37       5.07
1945       5.42       5.14
1946       5.51       5.21
1947       5.60       5.28
1948       5.67       5.34
1949       5.68       5.35
1950       5.72       5.38
1951       5.72       5.40
1952       5.73       5.42
1953       5.75       5.45
1954       5.75       5.46
1955       5.72       5.43
1956       5.66       5.37
1957       5.55       5.26
1958       5.46       5.15
1959       5.38       5.06
1960       5.35       4.99
1961       5.29       4.91
1962       5.32       4.91
1963       5.32       4.88
1964       5.35       4.92
1965       5.44       4.98
1966       5.51       5.03
1967       5.58       5.12
1968       5.68       5.22
1969       5.71       5.27
1970          .       5.32
1971          .       5.29
1972          .       5.23
1973          .       5.14
1974          .       5.03
1975          .       4.97
1976          .       4.91
1977          .       4.86
1978          .       4.83
1979          .       4.84
