Sweden, Period total fertility rates and period total fertility rates by age 40
Last modified: 05/11/2020
Year       TFR     TFR40
1891     4.142     3.546
1892     3.966     3.406
1893     4.039     3.468
1894     4.019     3.441
1895     4.083     3.518
1896     4.048     3.490
1897     3.977     3.433
1898     4.043     3.508
1899     3.929     3.412
1900     4.013     3.491
1901     4.009     3.499
1902     3.926     3.429
1903     3.811     3.334
1904     3.814     3.341
1905     3.796     3.321
1906     3.789     3.322
1907     3.751     3.299
1908     3.754     3.314
1909     3.726     3.293
1910     3.570     3.156
1911     3.450     3.051
1912     3.401     3.007
1913     3.290     2.912
1914     3.229     2.855
1915     3.033     2.679
1916     2.959     2.619
1917     2.899     2.565
1918     2.803     2.483
1919     2.705     2.418
1920     3.198     2.867
1921     2.902     2.600
1922     2.630     2.351
1923     2.524     2.259
1924     2.401     2.149
1925     2.309     2.077
1926     2.193     1.973
1927     2.080     1.882
1928     2.054     1.858
1929     1.926     1.748
1930     1.931     1.761
1931     1.847     1.690
1932     1.799     1.651
1933     1.688     1.549
1934     1.676     1.542
1935     1.676     1.554
1936     1.726     1.602
1937     1.745     1.626
1938     1.805     1.688
1939     1.862     1.744
1940     1.824     1.714
1941     1.894     1.786
1942     2.163     2.042
1943     2.382     2.253
1944     2.570     2.437
1945     2.588     2.454
1946     2.543     2.413
1947     2.481     2.357
1948     2.454     2.332
1949     2.369     2.258
1950     2.280     2.183
1951     2.199     2.107
1952     2.225     2.135
1953     2.255     2.168
1954     2.181     2.101
1955     2.253     2.176
1956     2.286     2.211
1957     2.284     2.210
1958     2.261     2.191
1959     2.254     2.187
1960     2.197     2.133
1961     2.229     2.169
1962     2.256     2.199
1963     2.336     2.278
1964     2.482     2.425
1965     2.416     2.361
1966     2.361     2.311
1967     2.267     2.220
1968     2.072     2.034
1969     1.927     1.890
1970     1.920     1.887
1971     1.961     1.931
1972     1.913     1.886
1973     1.867     1.844
1974     1.876     1.853
1975     1.769     1.750
1976     1.682     1.663
1977     1.645     1.627
1978     1.600     1.581
1979     1.658     1.636
1980     1.680     1.659
1981     1.636     1.613
1982     1.627     1.603
1983     1.614     1.591
1984     1.658     1.631
1985     1.740     1.713
1986     1.800     1.772
1987     1.844     1.815
1988     1.967     1.936
1989     2.020     1.986
1990     2.140     2.103
1991     2.113     2.075
1992     2.077     2.037
1993     1.982     1.943
1994     1.883     1.844
1995     1.731     1.694
1996     1.600     1.564
1997     1.528     1.491
1998     1.517     1.479
1999     1.512     1.473
2000     1.559     1.518
2001     1.580     1.537
2002     1.665     1.619
2003     1.731     1.681
2004     1.771     1.717
2005     1.787     1.733
2006     1.869     1.811
2007     1.892     1.828
2008     1.917     1.853
2009     1.937     1.868
2010     1.987     1.914
2011     1.900     1.827
2012     1.905     1.831
2013     1.888     1.814
2014     1.880     1.803
2015     1.848     1.773
2016     1.853     1.772
2017     1.784     1.702
2018     1.756     1.678
2019     1.710     1.626
