Sweden, Completed cohort fertility and completed cohort fertility by age 40
Last modified: 05/11/2020
Cohort     CCF     CCF40
1876     3.469     3.150
1877     3.405     3.098
1878     3.344     3.050
1879     3.274     2.987
1880     3.203     2.928
1881     3.165     2.906
1882     3.096     2.854
1883     3.007     2.781
1884     2.949     2.736
1885     2.883     2.683
1886     2.791     2.606
1887     2.724     2.553
1888     2.665     2.500
1889     2.583     2.428
1890     2.509     2.364
1891     2.447     2.311
1892     2.376     2.247
1893     2.309     2.184
1894     2.243     2.122
1895     2.165     2.048
1896     2.102     1.986
1897     2.051     1.938
1898     1.992     1.881
1899     1.930     1.816
1900     1.886     1.768
1901     1.858     1.735
1902     1.819     1.693
1903     1.802     1.674
1904     1.800     1.672
1905     1.794     1.669
1906     1.806     1.688
1907     1.821     1.712
1908     1.823     1.724
1909     1.845     1.751
1910     1.866     1.776
1911     1.881     1.797
1912     1.913     1.832
1913     1.939     1.862
1914     1.964     1.890
1915     1.976     1.903
1916     1.985     1.916
1917     2.001     1.936
1918     2.020     1.956
1919     2.034     1.976
1920     2.028     1.971
1921     2.024     1.969
1922     2.035     1.980
1923     2.038     1.985
1924     2.038     1.989
1925     2.046     2.002
1926     2.072     2.031
1927     2.091     2.054
1928     2.105     2.072
1929     2.109     2.077
1930     2.115     2.088
1931     2.146     2.122
1932     2.149     2.127
1933     2.140     2.118
1934     2.157     2.138
1935     2.140     2.122
1936     2.114     2.094
1937     2.106     2.086
1938     2.084     2.063
1939     2.061     2.038
1940     2.052     2.028
1941     2.031     2.007
1942     1.998     1.973
1943     1.987     1.960
1944     1.989     1.960
1945     1.972     1.945
1946     1.989     1.959
1947     2.000     1.967
1948     1.993     1.958
1949     2.003     1.967
1950     2.009     1.970
1951     2.001     1.962
1952     2.010     1.971
1953     2.025     1.986
1954     2.024     1.986
1955     2.035     1.997
1956     2.042     2.003
1957     2.053     2.013
1958     2.057     2.016
1959     2.048     2.005
1960     2.058     2.011
1961     2.030     1.981
1962     2.036     1.982
1963     2.028     1.971
1964     2.014     1.957
1965     2.014     1.952
1966     2.005     1.938
1967     1.996     1.929
1968     1.997     1.926
1969     1.993     1.921
1970         .     1.924
1971         .     1.901
1972         .     1.901
1973         .     1.879
1974         .     1.885
1975         .     1.875
1976         .     1.865
1977         .     1.866
1978         .     1.858
1979         .     1.846
