United States, Cohort mean ages at birth and cohort mean ages at birth by age 40
Last modified: 07/04/2021
Cohort    CMAB    CMAB40
1918     27.88     27.43
1919     27.81     27.37
1920     27.80     27.37
1921     27.68     27.28
1922     27.55     27.18
1923     27.45     27.11
1924     27.35     27.04
1925     27.21     26.92
1926     27.02     26.76
1927     26.82     26.59
1928     26.63     26.42
1929     26.44     26.26
1930     26.27     26.10
1931     26.03     25.88
1932     25.80     25.66
1933     25.59     25.47
1934     25.41     25.29
1935     25.23     25.12
1936     25.06     24.95
1937     24.90     24.78
1938     24.75     24.64
1939     24.66     24.54
1940     24.63     24.51
1941     24.65     24.52
1942     24.71     24.58
1943     24.78     24.64
1944     24.87     24.72
1945     25.02     24.85
1946     25.20     25.02
1947     25.37     25.18
1948     25.52     25.32
1949     25.71     25.48
1950     25.91     25.67
1951     26.11     25.85
1952     26.28     26.01
1953     26.42     26.14
1954     26.52     26.23
1955     26.60     26.31
1956     26.68     26.38
1957     26.78     26.47
1958     26.87     26.55
1959     26.93     26.61
1960     27.01     26.67
1961     27.10     26.75
1962     27.19     26.83
1963     27.27     26.91
1964     27.33     26.95
1965     27.37     26.99
1966     27.43     27.05
1967     27.49     27.10
1968     27.53     27.14
1969     27.56     27.17
1970         .     27.16
1971         .     27.12
1972         .     27.08
1973         .     27.07
1974         .     27.10
1975         .     27.13
1976         .     27.18
1977         .     27.24
1978         .     27.29
1979         .     27.34
