United States, Standard deviation in cohort mean ages at birth and standard deviation in cohort mean ages at birth by age 40
Last modified: 07/04/2021
Cohort   sdCMAB   sdCMAB40
1918       6.12       5.66
1919       6.10       5.65
1920       6.06       5.62
1921       6.00       5.58
1922       5.95       5.55
1923       5.88       5.51
1924       5.81       5.46
1925       5.75       5.42
1926       5.67       5.37
1927       5.62       5.34
1928       5.56       5.30
1929       5.49       5.25
1930       5.42       5.20
1931       5.33       5.13
1932       5.25       5.06
1933       5.17       4.99
1934       5.10       4.93
1935       5.05       4.87
1936       5.00       4.82
1937       4.98       4.80
1938       4.97       4.79
1939       5.00       4.81
1940       5.05       4.85
1941       5.08       4.87
1942       5.11       4.90
1943       5.17       4.95
1944       5.26       5.04
1945       5.36       5.12
1946       5.44       5.19
1947       5.52       5.25
1948       5.63       5.35
1949       5.75       5.45
1950       5.85       5.54
1951       5.91       5.60
1952       5.96       5.65
1953       6.00       5.68
1954       6.04       5.71
1955       6.06       5.73
1956       6.08       5.73
1957       6.09       5.74
1958       6.09       5.74
1959       6.11       5.74
1960       6.12       5.75
1961       6.13       5.75
1962       6.15       5.76
1963       6.16       5.77
1964       6.18       5.78
1965       6.21       5.81
1966       6.25       5.85
1967       6.29       5.88
1968       6.31       5.91
1969       6.32       5.93
1970          .       5.95
1971          .       5.96
1972          .       5.98
1973          .       5.99
1974          .       5.99
1975          .       5.99
1976          .       5.98
1977          .       5.99
1978          .       5.99
1979          .       6.00
